Armor
name	rarity	speed	reqstr	durability	level	type
Cap/hat	1	0	0	12	1	helm
Skull Cap	4	0	15	18	5	helm
Helm	4	0	26	24	11	helm
Full Helm	4	0	41	30	15	helm
Great Helm	4	0	63	40	23	helm
Crown	4	0	55	50	29	helm
Mask	4	0	23	20	19	helm
Quilted Armor	1	0	12	20	1	tors
Leather Armor	2	0	15	24	3	tors
Hard Leather Armor	3	0	20	28	5	tors
Studded Leather 	4	0	27	32	8	tors
Ring Mail	4	5	36	26	11	tors
Scale Mail	4	10	44	36	13	tors
Chain Mail	4	5	48	45	15	tors
Breast Plate	4	0	30	50	18	tors
Splint Mail	4	5	51	30	20	tors
Plate Mail	4	10	65	60	24	tors
Field Plate	4	5	55	48	28	tors
Gothic Plate	4	5	70	55	32	tors
Full Plate Mail	4	10	80	70	37	tors
Ancient Armor	4	5	100	60	40	tors
Light Plate	4	0	41	60	35	tors
Buckler	2	0	12	12	1	shie
Small Shield	3	0	22	16	5	shie
Large Shield	4	5	34	24	11	shie
Kite Shield	4	0	47	30	15	shie
Tower Shield	4	10	75	60	22	shie
Gothic Shield	4	5	60	40	30	shie
Gloves(L)	1	0	0	12	3	glov
Heavy Gloves	1	0	0	14	7	glov
Bracers(M)	2	0	25	16	12	glov
Light Gauntlets	3	0	45	18	20	glov
Gaunlets(H)	4	0	60	24	27	glov
Leather Boots	1	0	0	12	3	boot
Heavy Boots	1	0	18	14	7	boot
Chain Boots	2	0	30	16	12	boot
Light Plate Boots	3	0	50	18	20	boot
Plate Boots	4	0	70	24	27	boot
Sash(L)	1	0	0	12	3	belt
Light Belt	1	0	0	14	7	belt
Belt(M)	2	0	25	16	12	belt
Heavy Belt	2	0	45	18	20	belt
Girdle(H)	3	0	60	24	27	belt
Bone Helm	2	0	25	40	22	helm
Bone Shield	2	0	25	40	19	shie
Spiked Shield	3	0	30	40	11	shie
War Hat	1	0	20	12	34	helm
Sallet	4	0	43	18	37	helm
Casque	4	0	59	24	42	helm
Basinet	4	0	82	30	45	helm
Winged Helm	4	0	115	40	51	helm
Grand Crown	4	0	103	50	55	helm
Death Mask	4	0	55	20	48	helm
Ghost Armor	1	0	38	20	34	tors
Serpentskin Armor	2	0	43	24	36	tors
Demonhide Armor	3	0	50	28	37	tors
Trellised Armor	4	0	61	32	40	tors
Linked Mail	4	5	74	26	42	tors
Tigulated Mail	4	10	86	36	43	tors
Mesh Armor	4	5	92	45	45	tors
Cuirass	4	0	65	50	47	tors
Russet Armor	4	5	97	30	49	tors
Templar Coat	4	10	118	60	52	tors
Sharktooth Armor	4	5	103	48	55	tors
Embossed Plate	4	5	125	55	58	tors
Chaos Armor	4	10	140	70	61	tors
Ornate Armor	4	5	170	60	64	tors
Mage Plate	4	0	55	60	60	tors
Defender	2	0	38	68	34	shie
Round Shield	3	0	53	64	37	shie
Scutum	4	5	71	62	42	shie
Dragon Shield	4	0	91	76	45	shie
Pavise	4	10	133	72	50	shie
Ancient Shield	4	5	110	80	56	shie
Demonhide Gloves	1	0	20	12	33	glov
Sharkskin Gloves	1	0	20	14	39	glov
Heavy Bracers	2	0	58	16	43	glov
Battle Gauntlets	3	0	88	18	49	glov
War Gauntlets	4	0	110	24	54	glov
Demonhide Boots	1	0	20	12	36	boot
Sharkskin Boots	1	0	47	14	39	boot
Mesh Boots	2	0	65	16	43	boot
Battle Boots	3	0	95	18	49	boot
War Boots	4	0	125	24	54	boot
Demonhide Sash	1	0	20	12	36	belt
Sharkskin Belt	1	0	20	14	39	belt
Mesh Belt	2	0	58	16	43	belt
Battle Belt	2	0	88	18	49	belt
War Belt	3	0	110	24	54	belt
Grim Helm	2	0	58	40	50	helm
Grim Shield	2	0	58	70	48	shie
Barbed Shield	3	0	65	55	42	shie
Wolf Head	1	0	16	20	4	pelt
