MagicPrefix
MagicPrefix																
Name	rare	level	levelreq	frequency	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5
																
Sturdy	1	4	3	0	armo											
Strong	1	9	6	0	armo											
Glorious	1	19	14	0	armo											
Blessed	1	25	18	0	armo											
Saintly	1	31	23	0	armo											
Holy	1	36	27	0	armo											
Devious	1	7	5	0	shld											
Fortified	1	14	10	0	shld											
																
																
																
Jagged	1	1	1	0	weap											
Deadly	1	5	3	0	weap											
Vicious	1	8	6	0	weap											
Brutal	1	14	10	0	weap											
Massive	1	20	15	0	weap											
Savage	1	26	19	0	weap							staf	wand			
Merciless	1	32	24	0	weap							staf	wand			
Vulpine	1	9	6	0	shld	amul										
																
																
																
																
Tireless	1	14	10	0	boot											
Rugged	1	14	10	0	boot	glov	belt	ring	amul							
Bronze	1	1	1	0	weap	ring	glov	amul								
Iron	1	4	3	0	weap	ring										
Steel	1	8	6	0	weap	ring										
Silver	1	12	9	0	weap	ring										
																
Gold	1	17	12	0	weap											
Platinum	1	22	16	0	weap	ring										
Meteoric	1	27	20	0	weap	ring						staf	wand			
Sharp	1	5	3	0	weap											
Fine	1	9	6	0	weap											
Warrior's	1	15	11	0	weap											
Soldier's	1	21	15	0	weap											
Knight's	1	25	18	0	weap											
Lord's	1	30	22	0	weap							staf	wand			
King's	1	35	26	0	weap							staf	wand			
Howling	1	16	12	0	weap							miss				
Fortuitous	1	5	3	0	ring	amul										
																
																
																
																
																
Glimmering	1	1	1	0	armo	wand	staf	ring	amul							
Glowing	1	6	4	0	armo	wand	staf	ring	amul							
																
																
Lizard's	1	3	2	0	armo	ring	amul	rod				boot	glov			
																
Snake's	1	6	4	0	shld	rod	belt	ring	amul							
Serpent's	1	14	10	0	shld	rod	belt	ring	amul							
Serpent's	1	37	27	0	tors	helm	boot	glov	mele			h2h	rod			
Drake's	1	20	15	0	rod	ring	amul	belt								
Dragon's	1	24	18	0	rod	ring	amul									
Dragon's	1	52	39	0	tors	helm	boot	glov								
Wyrm's	1	30	22	0	rod	ring	amul									
																
																
Prismatic	1	27	20	0	amul											
Prismatic	1	62	46	0	ring											
Azure	1	5	3	0	armo	rod	miss	ring	amul							
Lapis	1	12	9	0	armo	ring	amul	rod								
Lapis	1	35	26	0	weap	glov						rod				
Cobalt	1	18	13	0	armo	ring	amul	rod				glov				
Cobalt	1	55	41	0	weap	glov						rod				
																
Sapphire	1	25	18	0	rod	boot	ring	amul	miss			scep				
																
																
Crimson	1	5	3	0	armo	rod	miss	ring	amul	amul						
Burgundy	1	12	9	0	armo	rod	ring	amul	amul							
Burgundy	1	35	26	0	weap							rod				
Garnet	1	18	13	0	armo	rod	ring	amul				glov				
Garnet	1	55	41	0	weap	glov						rod				
																
Ruby	1	25	18	0	wand	staf	boot	ring	amul							
																
																
Ocher	1	5	3	0	armo	rod	ring	amul	miss							
Tangerine	1	12	9	0	armo	ring	amul	rod								
Tangerine	1	35	26	0	weap							rod				
Coral	1	18	13	0	armo	ring	amul	rod				glov				
Coral	1	55	41	0	weap	glov						rod				
																
Amber	1	25	18	0	armo	ring	amul	staf	wand			shld	glov			
																
																
Beryl	1	5	3	0	armo	ring	amul	scep	staf	miss						
Jade	1	12	9	0	armo	ring	amul	scep	staf							
Jade	1	35	26	0	weap	ring						staf	scep			
Viridian	1	18	13	0	tors	helm	shld	scep	staf	ring	amul					
Viridian	1	55	41	0	weap	boot	glov	belt				staf	scep			
																
Emerald	1	25	18	0	scep	ring	amul									
																
Fletcher's	1	30	22	0	miss	amul										
Archer's	1	40	30	0	miss											
Archer's	1	90	67	0	amul											
Monk's	1	30	22	0	scep	amul										
Priest's	1	40	30	0	scep											
Priest's	1	90	67	0	amul											
Summoner's	1	30	22	0	wand	amul										
Necromancer's	1	40	30	0	wand											
Necromancer's	1	90	67	0	amul											
Angel's	1	30	22	0	staf	amul										
Arch-Angel's	1	40	30	0	staf											
Arch-Angel's	1	90	67	0	amul											
Slayer's	1	30	22	0	mele	amul						rod	h2h			
Berserker's	1	40	30	0	mele							rod	h2h			
Berserker's	1	90	67	0	amul											
																
																
Triumphant	1	3	2	0	mele	ring										
Expansion																
Stout	1	1	1	4	lcha											
Stout	1	7	5	4	lcha											
Stout	1	12	9	4	lcha											
Burly	1	17	12	4	lcha											
Burly	1	22	16	4	lcha											
Burly	1	27	20	4	lcha											
Stalwart		32	24	4	lcha											
Stalwart		37	29	4	lcha											
Stalwart		42	34	4	lcha											
Stout	1	1	1	4	mcha											
Stout	1	14	10	4	mcha											
Stout	1	20	15	4	mcha											
Burly	1	26	19	4	mcha											
Burly	1	32	24	4	mcha											
Stalwart		38	30	4	mcha											
Stalwart		45	37	4	mcha											
Stout	1	1	1	4	scha											
Stout	1	21	15	4	scha											
Burly	1	36	28	4	scha											
Stalwart		48	40	4	scha											
Blanched	1	1	1	4	jewl											
Eburin	1	16	12	4	jewl											
Bone	1	32	24	4	jewl											
Ivory		64	56	4	jewl											
Sturdy	1	1	1	9	armo											
Sturdy	1	4	3	9	armo											
Strong	1	9	6	8	armo											
Glorious	1	19	14	8	armo											
Blessed	1	25	18	7	armo											
Saintly	1	31	23	7	armo											
Holy	1	36	27	6	armo											
Godly		45	38	3	armo											
