MagicSuffix
Name	rare	level	frequency	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3
of Health	1	7		tors	helm	shld	ring	amul					
of Protection	1	18		ring	amul								
of Absorption	1	26		amul									
of Life	1	35		amul									
													
of Warding	1	7		tors	helm	shld	ring	amul					
of the Sentinel	1	18		ring	amul								
of Guarding	1	26		amul									
of Negation	1	35		amul									
													
of Piercing	1	25		rod									
of Bashing	1	16		mele							wand	staf	
of Puncturing	1	6		mele							wand	staf	
of Thorns	1	14		tors	helm	shld	belt						
of Spikes	1	21		tors	helm	shld	belt						
of Readiness	1	1		weap	glov								
of Alacrity	1	8		weap									
of Swiftness	1	19		mele							wand	staf	
of Quickness	1	25		mele							wand	staf	
of Blocking	1	1		shld									
of Deflecting	1	11		shld									
of the Apprentice	1	5		rod	ring	amul							
of the Magus	1	17		rod									
of Frost	1	4		weap									
of the Glacier	1	18		mele									
of Frost	1	55		belt	amul								
of Warmth	1	10		shld	boot	glov	ring	amul					
of Flame	1	4		weap									
of Fire	1	15		weap									
of Burning	1	25		weap									
of Flame	1	40		glov	ring	amul							
of Shock	1	4		weap									
of Lightning	1	15		weap									
of Thunder	1	25		weap									
of Shock	1	50		boot	ring	amul	weap				miss	rod	
of Craftsmanship	1	1		weap	ring	amul							
of Quality	1	4		weap									
of Maiming	1	7		weap									
of Slaying	1	11		weap									
of Gore	1	14		weap									
of Carnage	1	19		weap							wand	staf	
of Slaughter	1	25		weap							wand	staf	
of Maiming	1	42		shld	ring	amul							
of Worth	1	2		weap							rod		
of Measure	1	6		weap									
of Excellence	1	12		weap	ring	amul							
of Performance	1	18		weap									
of Measure	1	37		tors	helm	ring	amul						
of Blight	1	5		weap							scep		
of Venom	1	15		weap							scep		
of Pestilence	1	25		weap							scep		
of Blight	1	45		ring	amul								
of Dexterity	1	4		ring	amul								
of Dexterity	1	5		scep	miss	boot	glov	ring	amul				
of Skill	1	10		scep	miss	boot	glov	ring	amul				
of Skill	1	45		armo							boot	glov	
of Accuracy	1	18		scep	miss	boot	glov	ring	amul				
of Precision	1	22		scep	miss	amul							
of Precision	1	60		armo	ring								
of Perfection	1	30		miss	glov	amul							
of Balance	1	5		armo							glov		
of Stability	1	9		armo							glov		
													
of Regeneration	1	10		scep	belt	ring	amul						
of Regeneration	1	40		shld	glov								
of Regeneration	1	70		tors	helm	weap	boot				scep		
of Regrowth	1	17		scep	amul								
of Regrowth	1	55		belt	ring								
of Vileness	1	9		mele							scep		
													
